Lat	Lon	
-43.400000	171.000000	
-43.400000	171.005000	
-43.400000	171.010000	
-43.400000	171.015000	
-43.400000	171.020000	
-43.400000	171.025000	
-43.400000	171.030000	
-43.400000	171.035000	
-43.400000	171.040000	
-43.400000	171.045000	
-43.400000	171.050000	
-43.400000	171.055000	
-43.400000	171.060000	
-43.400000	171.065000	
-43.400000	171.070000	
-43.400000	171.075000	
-43.400000	171.080000	
-43.400000	171.085000	
-43.400000	171.090000	
-43.400000	171.095000	
-43.400000	171.100000	
-43.400000	171.105000	
-43.400000	171.110000	
-43.400000	171.115000	
-43.400000	171.120000	
-43.400000	171.125000	
-43.400000	171.130000	
-43.400000	171.135000	
-43.400000	171.140000	
-43.400000	171.145000	
-43.400000	171.150000	
-43.400000	171.155000	
-43.400000	171.160000	
-43.400000	171.165000	
-43.400000	171.170000	
-43.400000	171.175000	
-43.400000	171.180000	
-43.400000	171.185000	
-43.400000	171.190000	
-43.400000	171.195000	
-43.400000	171.200000	
-43.400000	171.205000	
-43.400000	171.210000	
-43.400000	171.215000	
-43.400000	171.220000	
-43.400000	171.225000	
-43.400000	171.230000	
-43.400000	171.235000	
-43.400000	171.240000	
-43.400000	171.245000	
-43.400000	171.250000	
-43.400000	171.255000	
-43.400000	171.260000	
-43.400000	171.265000	
-43.400000	171.270000	
-43.400000	171.275000	
-43.400000	171.280000	
-43.400000	171.285000	
-43.400000	171.290000	
-43.400000	171.295000	
-43.400000	171.300000	
-43.400000	171.305000	
-43.400000	171.310000	
-43.400000	171.315000	
-43.400000	171.320000	
-43.400000	171.325000	
-43.400000	171.330000	
-43.400000	171.335000	
-43.400000	171.340000	
-43.400000	171.345000	
-43.400000	171.350000	
-43.400000	171.355000	
-43.400000	171.360000	
-43.400000	171.365000	
-43.400000	171.370000	
-43.400000	171.375000	
-43.400000	171.380000	
-43.400000	171.385000	
-43.400000	171.390000	
-43.400000	171.395000	
-43.400000	171.400000	
-43.400000	171.405000	
-43.400000	171.410000	
-43.400000	171.415000	
-43.400000	171.420000	
-43.400000	171.425000	
-43.400000	171.430000	
-43.400000	171.435000	
-43.400000	171.440000	
-43.400000	171.445000	
-43.400000	171.450000	
-43.400000	171.455000	
-43.400000	171.460000	
-43.400000	171.465000	
-43.400000	171.470000	
-43.400000	171.475000	
-43.400000	171.480000	
-43.400000	171.485000	
-43.400000	171.490000	
-43.400000	171.495000	
-43.400000	171.500000	
-43.400000	171.505000	
-43.400000	171.510000	
-43.400000	171.515000	
-43.400000	171.520000	
-43.400000	171.525000	
-43.400000	171.530000	
-43.400000	171.535000	
-43.400000	171.540000	
-43.400000	171.545000	
-43.400000	171.550000	
-43.400000	171.555000	
-43.400000	171.560000	
-43.400000	171.565000	
-43.400000	171.570000	
-43.400000	171.575000	
-43.400000	171.580000	
-43.400000	171.585000	
-43.400000	171.590000	
-43.400000	171.595000	
-43.400000	171.600000	
-43.400000	171.605000	
-43.400000	171.610000	
-43.400000	171.615000	
-43.400000	171.620000	
-43.400000	171.625000	
-43.400000	171.630000	
-43.400000	171.635000	
-43.400000	171.640000	
-43.400000	171.645000	
-43.400000	171.650000	
-43.400000	171.655000	
-43.400000	171.660000	
-43.400000	171.665000	
-43.400000	171.670000	
-43.400000	171.675000	
-43.400000	171.680000	
-43.400000	171.685000	
-43.400000	171.690000	
-43.400000	171.695000	
-43.400000	171.700000	
-43.400000	171.705000	
-43.400000	171.710000	
-43.400000	171.715000	
-43.400000	171.720000	
-43.400000	171.725000	
-43.400000	171.730000	
-43.400000	171.735000	
-43.400000	171.740000	
-43.400000	171.745000	
-43.400000	171.750000	
-43.400000	171.755000	
-43.400000	171.760000	
-43.400000	171.765000	
-43.400000	171.770000	
-43.400000	171.775000	
-43.400000	171.780000	
-43.400000	171.785000	
-43.400000	171.790000	
-43.400000	171.795000	
-43.400000	171.800000	
-43.400000	171.805000	
-43.400000	171.810000	
-43.400000	171.815000	
-43.400000	171.820000	
-43.400000	171.825000	
-43.400000	171.830000	
-43.400000	171.835000	
-43.400000	171.840000	
-43.400000	171.845000	
-43.400000	171.850000	
-43.400000	171.855000	
-43.400000	171.860000	
-43.400000	171.865000	
-43.400000	171.870000	
-43.400000	171.875000	
-43.400000	171.880000	
-43.400000	171.885000	
-43.400000	171.890000	
-43.400000	171.895000	
-43.400000	171.900000	
-43.400000	171.905000	
-43.400000	171.910000	
-43.400000	171.915000	
-43.400000	171.920000	
-43.400000	171.925000	
-43.400000	171.930000	
-43.400000	171.935000	
-43.400000	171.940000	
-43.400000	171.945000	
-43.400000	171.950000	
-43.400000	171.955000	
-43.400000	171.960000	
-43.400000	171.965000	
-43.400000	171.970000	
-43.400000	171.975000	
-43.400000	171.980000	
-43.400000	171.985000	
-43.400000	171.990000	
-43.400000	171.995000	
-43.400000	172.000000	
-43.400000	172.005000	
-43.400000	172.010000	
-43.400000	172.015000	
-43.400000	172.020000	
-43.400000	172.025000	
-43.400000	172.030000	
-43.400000	172.035000	
-43.400000	172.040000	
-43.400000	172.045000	
-43.400000	172.050000	
-43.400000	172.055000	
-43.400000	172.060000	
-43.400000	172.065000	
-43.400000	172.070000	
-43.400000	172.075000	
-43.400000	172.080000	
-43.400000	172.085000	
-43.400000	172.090000	
-43.400000	172.095000	
-43.400000	172.100000	
-43.400000	172.105000	
-43.400000	172.110000	
-43.400000	172.115000	
-43.400000	172.120000	
-43.400000	172.125000	
-43.400000	172.130000	
-43.400000	172.135000	
-43.400000	172.140000	
-43.400000	172.145000	
-43.400000	172.150000	
-43.400000	172.155000	
