Lat	Lon	posInfSurf	negInfSurf	
-43.200000	171.000000	100000.000000	-1000000.000000	
-43.200000	171.005000	100000.000000	-1000000.000000	
-43.200000	171.010000	100000.000000	-1000000.000000	
-43.200000	171.015000	100000.000000	-1000000.000000	
-43.200000	171.020000	100000.000000	-1000000.000000	
-43.200000	171.025000	100000.000000	-1000000.000000	
-43.200000	171.030000	100000.000000	-1000000.000000	
-43.200000	171.035000	100000.000000	-1000000.000000	
-43.200000	171.040000	100000.000000	-1000000.000000	
-43.200000	171.045000	100000.000000	-1000000.000000	
-43.200000	171.050000	100000.000000	-1000000.000000	
-43.200000	171.055000	100000.000000	-1000000.000000	
-43.200000	171.060000	100000.000000	-1000000.000000	
-43.200000	171.065000	100000.000000	-1000000.000000	
-43.200000	171.070000	100000.000000	-1000000.000000	
-43.200000	171.075000	100000.000000	-1000000.000000	
-43.200000	171.080000	100000.000000	-1000000.000000	
-43.200000	171.085000	100000.000000	-1000000.000000	
-43.200000	171.090000	100000.000000	-1000000.000000	
-43.200000	171.095000	100000.000000	-1000000.000000	
-43.200000	171.100000	100000.000000	-1000000.000000	
-43.200000	171.105000	100000.000000	-1000000.000000	
-43.200000	171.110000	100000.000000	-1000000.000000	
-43.200000	171.115000	100000.000000	-1000000.000000	
-43.200000	171.120000	100000.000000	-1000000.000000	
-43.200000	171.125000	100000.000000	-1000000.000000	
-43.200000	171.130000	100000.000000	-1000000.000000	
-43.200000	171.135000	100000.000000	-1000000.000000	
-43.200000	171.140000	100000.000000	-1000000.000000	
-43.200000	171.145000	100000.000000	-1000000.000000	
-43.200000	171.150000	100000.000000	-1000000.000000	
-43.200000	171.155000	100000.000000	-1000000.000000	
-43.200000	171.160000	100000.000000	-1000000.000000	
-43.200000	171.165000	100000.000000	-1000000.000000	
-43.200000	171.170000	100000.000000	-1000000.000000	
-43.200000	171.175000	100000.000000	-1000000.000000	
-43.200000	171.180000	100000.000000	-1000000.000000	
-43.200000	171.185000	100000.000000	-1000000.000000	
-43.200000	171.190000	100000.000000	-1000000.000000	
-43.200000	171.195000	100000.000000	-1000000.000000	
-43.200000	171.200000	100000.000000	-1000000.000000	
-43.200000	171.205000	100000.000000	-1000000.000000	
-43.200000	171.210000	100000.000000	-1000000.000000	
-43.200000	171.215000	100000.000000	-1000000.000000	
-43.200000	171.220000	100000.000000	-1000000.000000	
-43.200000	171.225000	100000.000000	-1000000.000000	
-43.200000	171.230000	100000.000000	-1000000.000000	
-43.200000	171.235000	100000.000000	-1000000.000000	
-43.200000	171.240000	100000.000000	-1000000.000000	
-43.200000	171.245000	100000.000000	-1000000.000000	
-43.200000	171.250000	100000.000000	-1000000.000000	
-43.200000	171.255000	100000.000000	-1000000.000000	
-43.200000	171.260000	100000.000000	-1000000.000000	
-43.200000	171.265000	100000.000000	-1000000.000000	
-43.200000	171.270000	100000.000000	-1000000.000000	
-43.200000	171.275000	100000.000000	-1000000.000000	
-43.200000	171.280000	100000.000000	-1000000.000000	
-43.200000	171.285000	100000.000000	-1000000.000000	
-43.200000	171.290000	100000.000000	-1000000.000000	
-43.200000	171.295000	100000.000000	-1000000.000000	
-43.200000	171.300000	100000.000000	-1000000.000000	
