Lat	Lon	posInfSurf	negInfSurf	
-44.400000	171.000000	100000.000000	-1000000.000000	
-44.396800	171.005000	100000.000000	-1000000.000000	
-44.393600	171.010000	100000.000000	-1000000.000000	
-44.390400	171.015000	100000.000000	-1000000.000000	
-44.387200	171.020000	100000.000000	-1000000.000000	
-44.384000	171.025000	100000.000000	-1000000.000000	
-44.380800	171.030000	100000.000000	-1000000.000000	
-44.377600	171.035000	100000.000000	-1000000.000000	
-44.374400	171.040000	100000.000000	-1000000.000000	
-44.371200	171.045000	100000.000000	-1000000.000000	
-44.368000	171.050000	100000.000000	-1000000.000000	
-44.364800	171.055000	100000.000000	-1000000.000000	
-44.361600	171.060000	100000.000000	-1000000.000000	
-44.358400	171.065000	100000.000000	-1000000.000000	
-44.355200	171.070000	100000.000000	-1000000.000000	
-44.352000	171.075000	100000.000000	-1000000.000000	
-44.348800	171.080000	100000.000000	-1000000.000000	
-44.345600	171.085000	100000.000000	-1000000.000000	
-44.342400	171.090000	100000.000000	-1000000.000000	
-44.339200	171.095000	100000.000000	-1000000.000000	
-44.336000	171.100000	100000.000000	-1000000.000000	
-44.332800	171.105000	100000.000000	-1000000.000000	
-44.329600	171.110000	100000.000000	-1000000.000000	
-44.326400	171.115000	100000.000000	-1000000.000000	
-44.323200	171.120000	100000.000000	-1000000.000000	
-44.320000	171.125000	100000.000000	-1000000.000000	
-44.316800	171.130000	100000.000000	-1000000.000000	
-44.313600	171.135000	100000.000000	-1000000.000000	
-44.310400	171.140000	100000.000000	-1000000.000000	
-44.307200	171.145000	100000.000000	-1000000.000000	
-44.304000	171.150000	100000.000000	-1000000.000000	
-44.300800	171.155000	100000.000000	-1000000.000000	
-44.297600	171.160000	100000.000000	-1000000.000000	
-44.294400	171.165000	100000.000000	-1000000.000000	
-44.291200	171.170000	100000.000000	-1000000.000000	
-44.288000	171.175000	100000.000000	-1000000.000000	
-44.284800	171.180000	100000.000000	-1000000.000000	
-44.281600	171.185000	100000.000000	-1000000.000000	
-44.278400	171.190000	100000.000000	-1000000.000000	
-44.275200	171.195000	100000.000000	-1000000.000000	
-44.272000	171.200000	100000.000000	-1000000.000000	
-44.268800	171.205000	100000.000000	-1000000.000000	
-44.265600	171.210000	100000.000000	-1000000.000000	
-44.262400	171.215000	100000.000000	-1000000.000000	
-44.259200	171.220000	100000.000000	-1000000.000000	
-44.256000	171.225000	100000.000000	-1000000.000000	
-44.252800	171.230000	100000.000000	-1000000.000000	
-44.249600	171.235000	100000.000000	-1000000.000000	
-44.246400	171.240000	100000.000000	-1000000.000000	
-44.243200	171.245000	100000.000000	-1000000.000000	
-44.240000	171.250000	100000.000000	-1000000.000000	
-44.236800	171.255000	100000.000000	-1000000.000000	
-44.233600	171.260000	100000.000000	-1000000.000000	
-44.230400	171.265000	100000.000000	-1000000.000000	
-44.227200	171.270000	100000.000000	-1000000.000000	
-44.224000	171.275000	100000.000000	-1000000.000000	
-44.220800	171.280000	100000.000000	-1000000.000000	
-44.217600	171.285000	100000.000000	-1000000.000000	
-44.214400	171.290000	100000.000000	-1000000.000000	
-44.211200	171.295000	100000.000000	-1000000.000000	
-44.208000	171.300000	100000.000000	-1000000.000000	
-44.204800	171.305000	100000.000000	-1000000.000000	
-44.201600	171.310000	100000.000000	-1000000.000000	
-44.198400	171.315000	100000.000000	-1000000.000000	
-44.195200	171.320000	100000.000000	-1000000.000000	
-44.192000	171.325000	100000.000000	-1000000.000000	
-44.188800	171.330000	100000.000000	-1000000.000000	
-44.185600	171.335000	100000.000000	-1000000.000000	
-44.182400	171.340000	100000.000000	-1000000.000000	
