Lat	Lon	
-42.800000	171.000000	
-42.803200	171.005000	
-42.806400	171.010000	
-42.809600	171.015000	
-42.812800	171.020000	
-42.816000	171.025000	
-42.819200	171.030000	
-42.822400	171.035000	
-42.825600	171.040000	
-42.828800	171.045000	
-42.832000	171.050000	
-42.835200	171.055000	
-42.838400	171.060000	
-42.841600	171.065000	
-42.844800	171.070000	
-42.848000	171.075000	
-42.851200	171.080000	
-42.854400	171.085000	
-42.857600	171.090000	
-42.860800	171.095000	
-42.864000	171.100000	
-42.867200	171.105000	
-42.870400	171.110000	
-42.873600	171.115000	
-42.876800	171.120000	
-42.880000	171.125000	
-42.883200	171.130000	
-42.886400	171.135000	
-42.889600	171.140000	
-42.892800	171.145000	
-42.896000	171.150000	
-42.899200	171.155000	
-42.902400	171.160000	
-42.905600	171.165000	
-42.908800	171.170000	
-42.912000	171.175000	
-42.915200	171.180000	
-42.918400	171.185000	
-42.921600	171.190000	
-42.924800	171.195000	
-42.928000	171.200000	
-42.931200	171.205000	
-42.934400	171.210000	
-42.937600	171.215000	
-42.940800	171.220000	
-42.944000	171.225000	
-42.947200	171.230000	
-42.950400	171.235000	
-42.953600	171.240000	
-42.956800	171.245000	
-42.960000	171.250000	
-42.963200	171.255000	
-42.966400	171.260000	
-42.969600	171.265000	
-42.972800	171.270000	
-42.976000	171.275000	
-42.979200	171.280000	
-42.982400	171.285000	
-42.985600	171.290000	
-42.988800	171.295000	
-42.992000	171.300000	
-42.995200	171.305000	
-42.998400	171.310000	
-43.001600	171.315000	
-43.004800	171.320000	
-43.008000	171.325000	
-43.011200	171.330000	
-43.014400	171.335000	
-43.017600	171.340000	
-43.020800	171.345000	
-43.024000	171.350000	
-43.027200	171.355000	
-43.030400	171.360000	
-43.033600	171.365000	
-43.036800	171.370000	
-43.040000	171.375000	
-43.043200	171.380000	
-43.046400	171.385000	
-43.049600	171.390000	
-43.052800	171.395000	
-43.056000	171.400000	
-43.059200	171.405000	
-43.062400	171.410000	
-43.065600	171.415000	
-43.068800	171.420000	
-43.072000	171.425000	
-43.075200	171.430000	
-43.078400	171.435000	
-43.081600	171.440000	
-43.084800	171.445000	
-43.088000	171.450000	
-43.091200	171.455000	
-43.094400	171.460000	
-43.097600	171.465000	
-43.100800	171.470000	
-43.104000	171.475000	
-43.107200	171.480000	
-43.110400	171.485000	
-43.113600	171.490000	
-43.116800	171.495000	
-43.120000	171.500000	
-43.123200	171.505000	
-43.126400	171.510000	
-43.129600	171.515000	
-43.132800	171.520000	
-43.136000	171.525000	
-43.139200	171.530000	
-43.142400	171.535000	
-43.145600	171.540000	
-43.148800	171.545000	
-43.152000	171.550000	
-43.155200	171.555000	
-43.158400	171.560000	
-43.161600	171.565000	
-43.164800	171.570000	
-43.168000	171.575000	
-43.171200	171.580000	
-43.174400	171.585000	
-43.177600	171.590000	
-43.180800	171.595000	
-43.184000	171.600000	
-43.187200	171.605000	
-43.190400	171.610000	
-43.193600	171.615000	
-43.196800	171.620000	
-43.200000	171.625000	
-43.203200	171.630000	
-43.206400	171.635000	
-43.209600	171.640000	
-43.212800	171.645000	
-43.216000	171.650000	
-43.219200	171.655000	
-43.222400	171.660000	
-43.225600	171.665000	
-43.228800	171.670000	
-43.232000	171.675000	
-43.235200	171.680000	
-43.238400	171.685000	
-43.241600	171.690000	
-43.244800	171.695000	
