Properties at Lat: -43.500000 Lon: 172.500000
Depth 	 Vp 	 Vs 	 Rho
99.500000 	 nan 	 nan 	 nan
98.500000 	 nan 	 nan 	 nan
97.500000 	 nan 	 nan 	 nan
96.500000 	 nan 	 nan 	 nan
95.500000 	 nan 	 nan 	 nan
94.500000 	 nan 	 nan 	 nan
93.500000 	 nan 	 nan 	 nan
92.500000 	 nan 	 nan 	 nan
91.500000 	 nan 	 nan 	 nan
90.500000 	 nan 	 nan 	 nan
89.500000 	 nan 	 nan 	 nan
88.500000 	 nan 	 nan 	 nan
87.500000 	 nan 	 nan 	 nan
86.500000 	 nan 	 nan 	 nan
85.500000 	 nan 	 nan 	 nan
84.500000 	 nan 	 nan 	 nan
83.500000 	 nan 	 nan 	 nan
82.500000 	 nan 	 nan 	 nan
81.500000 	 nan 	 nan 	 nan
80.500000 	 nan 	 nan 	 nan
79.500000 	 nan 	 nan 	 nan
78.500000 	 nan 	 nan 	 nan
77.500000 	 nan 	 nan 	 nan
76.500000 	 nan 	 nan 	 nan
75.500000 	 nan 	 nan 	 nan
74.500000 	 nan 	 nan 	 nan
73.500000 	 nan 	 nan 	 nan
72.500000 	 nan 	 nan 	 nan
71.500000 	 nan 	 nan 	 nan
70.500000 	 nan 	 nan 	 nan
69.500000 	 nan 	 nan 	 nan
68.500000 	 nan 	 nan 	 nan
67.500000 	 nan 	 nan 	 nan
66.500000 	 nan 	 nan 	 nan
65.500000 	 nan 	 nan 	 nan
64.500000 	 nan 	 nan 	 nan
63.500000 	 nan 	 nan 	 nan
62.500000 	 nan 	 nan 	 nan
61.500000 	 nan 	 nan 	 nan
60.500000 	 nan 	 nan 	 nan
59.500000 	 nan 	 nan 	 nan
58.500000 	 nan 	 nan 	 nan
57.500000 	 nan 	 nan 	 nan
56.500000 	 nan 	 nan 	 nan
55.500000 	 nan 	 nan 	 nan
54.500000 	 nan 	 nan 	 nan
53.500000 	 nan 	 nan 	 nan
52.500000 	 nan 	 nan 	 nan
51.500000 	 nan 	 nan 	 nan
50.500000 	 nan 	 nan 	 nan
49.500000 	 nan 	 nan 	 nan
48.500000 	 nan 	 nan 	 nan
47.500000 	 nan 	 nan 	 nan
46.500000 	 nan 	 nan 	 nan
45.500000 	 1.600000 	 0.170000 	 1.697100
44.500000 	 1.600000 	 0.170000 	 1.697100
43.500000 	 1.600000 	 0.170000 	 1.697100
42.500000 	 1.600000 	 0.170000 	 1.697100
41.500000 	 1.600000 	 0.170000 	 1.697100
40.500000 	 1.600000 	 0.170000 	 1.697100
39.500000 	 1.600000 	 0.170000 	 1.697100
38.500000 	 1.600000 	 0.170000 	 1.697100
37.500000 	 1.600000 	 0.170000 	 1.697100
36.500000 	 1.600000 	 0.170000 	 1.697100
35.500000 	 1.600000 	 0.170000 	 1.697100
34.500000 	 1.600000 	 0.170000 	 1.697100
33.500000 	 1.600000 	 0.170000 	 1.697100
32.500000 	 1.600000 	 0.170000 	 1.697100
31.500000 	 1.600000 	 0.170000 	 1.697100
30.500000 	 1.600000 	 0.170000 	 1.697100
29.500000 	 1.600000 	 0.400000 	 1.697100
28.500000 	 1.600000 	 0.400000 	 1.697100
27.500000 	 1.600000 	 0.400000 	 1.697100
26.500000 	 1.600000 	 0.400000 	 1.697100
25.500000 	 1.600000 	 0.400000 	 1.697100
24.500000 	 1.600000 	 0.400000 	 1.697100
23.500000 	 1.600000 	 0.400000 	 1.697100
22.500000 	 1.600000 	 0.400000 	 1.697100
21.500000 	 1.600000 	 0.400000 	 1.697100
20.500000 	 1.600000 	 0.400000 	 1.697100
19.500000 	 1.600000 	 0.400000 	 1.697100
18.500000 	 1.600000 	 0.400000 	 1.697100
17.500000 	 1.600000 	 0.400000 	 1.697100
16.500000 	 1.600000 	 0.400000 	 1.697100
15.500000 	 1.600000 	 0.400000 	 1.697100
14.500000 	 1.600000 	 0.400000 	 1.697100
13.500000 	 1.600000 	 0.400000 	 1.697100
12.500000 	 1.600000 	 0.400000 	 1.697100
11.500000 	 1.600000 	 0.400000 	 1.697100
10.500000 	 1.600000 	 0.400000 	 1.697100
9.500000 	 1.600000 	 0.400000 	 1.697100
8.500000 	 1.600000 	 0.400000 	 1.697100
7.500000 	 1.600000 	 0.400000 	 1.697100
6.500000 	 1.600000 	 0.400000 	 1.697100
5.500000 	 1.600000 	 0.400000 	 1.697100
4.500000 	 1.600000 	 0.400000 	 1.697100
3.500000 	 1.600000 	 0.400000 	 1.697100
2.500000 	 1.600000 	 0.400000 	 1.697100
1.500000 	 1.600000 	 0.400000 	 1.697100
0.500000 	 1.600000 	 0.400000 	 1.697100
-0.500000 	 1.600000 	 0.400000 	 1.697100
-1.500000 	 1.600000 	 0.400000 	 1.697100
-2.500000 	 1.600000 	 0.400000 	 1.697100
-3.500000 	 1.600000 	 0.300000 	 1.697100
-4.500000 	 1.600000 	 0.300000 	 1.697100
-5.500000 	 1.600000 	 0.300000 	 1.697100
-6.500000 	 1.600000 	 0.300000 	 1.697100
-7.500000 	 1.600000 	 0.300000 	 1.697100
-8.500000 	 1.600000 	 0.300000 	 1.697100
-9.500000 	 1.600000 	 0.300000 	 1.697100
-10.500000 	 1.600000 	 0.300000 	 1.697100
-11.500000 	 1.600000 	 0.300000 	 1.697100
-12.500000 	 1.600000 	 0.300000 	 1.697100
-13.500000 	 1.600000 	 0.300000 	 1.697100
-14.500000 	 1.600000 	 0.300000 	 1.697100
-15.500000 	 1.600000 	 0.300000 	 1.697100
-16.500000 	 1.600000 	 0.300000 	 1.697100
-17.500000 	 1.600000 	 0.300000 	 1.697100
-18.500000 	 1.600000 	 0.300000 	 1.697100
-19.500000 	 1.600000 	 0.300000 	 1.697100
-20.500000 	 1.600000 	 0.300000 	 1.697100
-21.500000 	 1.600000 	 0.300000 	 1.697100
-22.500000 	 1.600000 	 0.300000 	 1.697100
-23.500000 	 1.600000 	 0.300000 	 1.697100
-24.500000 	 1.600000 	 0.300000 	 1.697100
-25.500000 	 1.600000 	 0.300000 	 1.697100
-26.500000 	 1.600000 	 0.300000 	 1.697100
-27.500000 	 1.600000 	 0.300000 	 1.697100
-28.500000 	 1.600000 	 0.300000 	 1.697100
-29.500000 	 1.600000 	 0.300000 	 1.697100
-30.500000 	 1.600000 	 0.300000 	 1.697100
-31.500000 	 1.600000 	 0.300000 	 1.697100
-32.500000 	 1.600000 	 0.300000 	 1.697100
-33.500000 	 1.600000 	 0.300000 	 1.697100
-34.500000 	 1.600000 	 0.300000 	 1.697100
-35.500000 	 1.600000 	 0.300000 	 1.697100
-36.500000 	 1.600000 	 0.300000 	 1.697100
-37.500000 	 1.600000 	 0.300000 	 1.697100
-38.500000 	 1.600000 	 0.300000 	 1.697100
-39.500000 	 1.600000 	 0.300000 	 1.697100
-40.500000 	 1.600000 	 0.300000 	 1.697100
-41.500000 	 1.600000 	 0.300000 	 1.697100
-42.500000 	 1.600000 	 0.300000 	 1.697100
-43.500000 	 1.600000 	 0.300000 	 1.697100
-44.500000 	 1.600000 	 0.300000 	 1.697100
-45.500000 	 1.600000 	 0.300000 	 1.697100
-46.500000 	 1.600000 	 0.300000 	 1.697100
-47.500000 	 1.600000 	 0.300000 	 1.697100
-48.500000 	 1.600000 	 0.500000 	 1.697100
-49.500000 	 1.600000 	 0.500000 	 1.697100
-50.500000 	 1.600000 	 0.500000 	 1.697100
-51.500000 	 1.600000 	 0.500000 	 1.697100
-52.500000 	 1.600000 	 0.500000 	 1.697100
-53.500000 	 1.600000 	 0.400000 	 1.697100
-54.500000 	 1.600000 	 0.400000 	 1.697100
-55.500000 	 1.600000 	 0.400000 	 1.697100
-56.500000 	 1.600000 	 0.400000 	 1.697100
-57.500000 	 1.600000 	 0.400000 	 1.697100
-58.500000 	 1.600000 	 0.400000 	 1.697100
-59.500000 	 1.600000 	 0.400000 	 1.697100
-60.500000 	 1.600000 	 0.400000 	 1.697100
-61.500000 	 1.600000 	 0.400000 	 1.697100
-62.500000 	 1.600000 	 0.400000 	 1.697100
-63.500000 	 1.600000 	 0.400000 	 1.697100
-64.500000 	 1.600000 	 0.400000 	 1.697100
-65.500000 	 1.600000 	 0.400000 	 1.697100
-66.500000 	 1.600000 	 0.400000 	 1.697100
-67.500000 	 1.600000 	 0.400000 	 1.697100
-68.500000 	 1.600000 	 0.400000 	 1.697100
-69.500000 	 1.600000 	 0.400000 	 1.697100
-70.500000 	 1.600000 	 0.400000 	 1.697100
-71.500000 	 1.600000 	 0.400000 	 1.697100
-72.500000 	 1.600000 	 0.400000 	 1.697100
-73.500000 	 1.600000 	 0.400000 	 1.697100
-74.500000 	 1.600000 	 0.400000 	 1.697100
-75.500000 	 1.600000 	 0.400000 	 1.697100
-76.500000 	 1.600000 	 0.600000 	 1.697100
-77.500000 	 1.600000 	 0.600000 	 1.697100
-78.500000 	 1.600000 	 0.600000 	 1.697100
-79.500000 	 1.600000 	 0.600000 	 1.697100
-80.500000 	 1.600000 	 0.600000 	 1.697100
-81.500000 	 1.600000 	 0.600000 	 1.697100
-82.500000 	 1.600000 	 0.600000 	 1.697100
-83.500000 	 1.600000 	 0.400000 	 1.697100
-84.500000 	 1.600000 	 0.400000 	 1.697100
