Properties at Lat: -43.500000 Lon: 172.500000
Depth 	 Vp 	 Vs 	 Rho
99.500000 	 3.470643 	 2.026437 	 2.367592
98.500000 	 3.471004 	 2.026650 	 2.367650
97.500000 	 3.471364 	 2.026863 	 2.367708
96.500000 	 3.471725 	 2.027077 	 2.367766
95.500000 	 3.472085 	 2.027290 	 2.367824
94.500000 	 3.472446 	 2.027503 	 2.367882
93.500000 	 3.472806 	 2.027717 	 2.367939
92.500000 	 3.473166 	 2.027930 	 2.367997
91.500000 	 3.473527 	 2.028143 	 2.368055
90.500000 	 3.473887 	 2.028357 	 2.368113
89.500000 	 3.474248 	 2.028570 	 2.368171
88.500000 	 3.474608 	 2.028783 	 2.368229
87.500000 	 3.474969 	 2.028997 	 2.368287
86.500000 	 3.475329 	 2.029210 	 2.368345
85.500000 	 3.475690 	 2.029423 	 2.368403
84.500000 	 3.476050 	 2.029637 	 2.368461
83.500000 	 3.476410 	 2.029850 	 2.368518
82.500000 	 3.476771 	 2.030063 	 2.368576
81.500000 	 3.477131 	 2.030277 	 2.368634
80.500000 	 3.477492 	 2.030490 	 2.368692
79.500000 	 3.477852 	 2.030703 	 2.368750
78.500000 	 3.478213 	 2.030917 	 2.368808
77.500000 	 3.478573 	 2.031130 	 2.368866
76.500000 	 3.478933 	 2.031343 	 2.368924
75.500000 	 3.479294 	 2.031557 	 2.368982
74.500000 	 3.479654 	 2.031770 	 2.369040
73.500000 	 3.480015 	 2.031983 	 2.369097
72.500000 	 3.480375 	 2.032197 	 2.369155
71.500000 	 3.480736 	 2.032410 	 2.369213
70.500000 	 3.481096 	 2.032623 	 2.369271
69.500000 	 3.481457 	 2.032837 	 2.369329
68.500000 	 3.481817 	 2.033050 	 2.369387
67.500000 	 3.482177 	 2.033263 	 2.369445
66.500000 	 3.482538 	 2.033477 	 2.369503
65.500000 	 3.482898 	 2.033690 	 2.369561
64.500000 	 3.483259 	 2.033903 	 2.369619
63.500000 	 3.483619 	 2.034117 	 2.369676
62.500000 	 3.483980 	 2.034330 	 2.369734
61.500000 	 3.484340 	 2.034543 	 2.369792
60.500000 	 3.484700 	 2.034757 	 2.369850
59.500000 	 3.485061 	 2.034970 	 2.369908
58.500000 	 3.485421 	 2.035183 	 2.369966
57.500000 	 3.485782 	 2.035397 	 2.370024
56.500000 	 3.486142 	 2.035610 	 2.370082
55.500000 	 3.486503 	 2.035823 	 2.370140
54.500000 	 3.486863 	 2.036037 	 2.370198
53.500000 	 3.487224 	 2.036250 	 2.370255
52.500000 	 3.487584 	 2.036463 	 2.370313
51.500000 	 3.487944 	 2.036677 	 2.370371
50.500000 	 3.488305 	 2.036890 	 2.370429
49.500000 	 3.488665 	 2.037103 	 2.370487
48.500000 	 3.489026 	 2.037317 	 2.370545
47.500000 	 3.489386 	 2.037530 	 2.370603
46.500000 	 3.489747 	 2.037743 	 2.370661
45.500000 	 3.490107 	 2.037957 	 2.370719
44.500000 	 3.490467 	 2.038170 	 2.370776
43.500000 	 3.490828 	 2.038383 	 2.370834
42.500000 	 3.491188 	 2.038597 	 2.370892
41.500000 	 3.491549 	 2.038810 	 2.370950
40.500000 	 3.491909 	 2.039023 	 2.371008
39.500000 	 3.492270 	 2.039237 	 2.371066
38.500000 	 3.492630 	 2.039450 	 2.371124
37.500000 	 3.492991 	 2.039663 	 2.371182
36.500000 	 3.493351 	 2.039877 	 2.371240
35.500000 	 3.493711 	 2.040090 	 2.371298
34.500000 	 3.494072 	 2.040303 	 2.371355
33.500000 	 3.494432 	 2.040517 	 2.371413
32.500000 	 3.494793 	 2.040730 	 2.371471
31.500000 	 3.495153 	 2.040943 	 2.371529
30.500000 	 3.495514 	 2.041157 	 2.371587
29.500000 	 3.495874 	 2.041370 	 2.371645
28.500000 	 3.496235 	 2.041583 	 2.371703
27.500000 	 3.496595 	 2.041797 	 2.371761
26.500000 	 3.496955 	 2.042010 	 2.371819
25.500000 	 3.497316 	 2.042223 	 2.371877
24.500000 	 3.497676 	 2.042437 	 2.371934
23.500000 	 3.498037 	 2.042650 	 2.371992
22.500000 	 3.498397 	 2.042863 	 2.372050
21.500000 	 3.498758 	 2.043077 	 2.372108
20.500000 	 3.499118 	 2.043290 	 2.372166
19.500000 	 3.499478 	 2.043503 	 2.372224
18.500000 	 3.499839 	 2.043717 	 2.372282
17.500000 	 3.500199 	 2.043930 	 2.372340
16.500000 	 3.500560 	 2.044143 	 2.372398
15.500000 	 3.500920 	 2.044357 	 2.372456
14.500000 	 3.501281 	 2.044570 	 2.372513
13.500000 	 3.501641 	 2.044783 	 2.372571
12.500000 	 3.502002 	 2.044997 	 2.372629
11.500000 	 3.502362 	 2.045210 	 2.372687
10.500000 	 3.502722 	 2.045423 	 2.372745
9.500000 	 3.503083 	 2.045637 	 2.372803
8.500000 	 3.503443 	 2.045850 	 2.372861
7.500000 	 3.503804 	 2.046063 	 2.372919
6.500000 	 3.504164 	 2.046277 	 2.372977
5.500000 	 3.504525 	 2.046490 	 2.373035
4.500000 	 3.504885 	 2.046703 	 2.373092
3.500000 	 3.505245 	 2.046917 	 2.373150
2.500000 	 3.505606 	 2.047130 	 2.373208
1.500000 	 3.505966 	 2.047343 	 2.373266
0.500000 	 3.506327 	 2.047557 	 2.373324
-0.500000 	 3.506687 	 2.047770 	 2.373382
-1.500000 	 3.507048 	 2.047983 	 2.373440
-2.500000 	 3.507408 	 2.048197 	 2.373498
-3.500000 	 3.507769 	 2.048410 	 2.373556
-4.500000 	 3.508129 	 2.048623 	 2.373614
-5.500000 	 3.508489 	 2.048837 	 2.373671
-6.500000 	 3.508850 	 2.049050 	 2.373729
-7.500000 	 3.509210 	 2.049263 	 2.373787
-8.500000 	 3.509571 	 2.049477 	 2.373845
-9.500000 	 3.509931 	 2.049690 	 2.373903
-10.500000 	 3.510292 	 2.049903 	 2.373961
-11.500000 	 3.510652 	 2.050117 	 2.374019
-12.500000 	 3.511012 	 2.050330 	 2.374077
-13.500000 	 3.511373 	 2.050543 	 2.374135
-14.500000 	 3.511733 	 2.050757 	 2.374192
-15.500000 	 3.512094 	 2.050970 	 2.374250
-16.500000 	 3.512454 	 2.051183 	 2.374308
-17.500000 	 3.512815 	 2.051397 	 2.374366
-18.500000 	 3.513175 	 2.051610 	 2.374424
-19.500000 	 3.513536 	 2.051823 	 2.374482
-20.500000 	 3.513896 	 2.052037 	 2.374540
-21.500000 	 3.514256 	 2.052250 	 2.374598
-22.500000 	 3.514617 	 2.052463 	 2.374656
-23.500000 	 3.514977 	 2.052677 	 2.374714
-24.500000 	 3.515338 	 2.052890 	 2.374771
-25.500000 	 3.515698 	 2.053103 	 2.374829
-26.500000 	 3.516059 	 2.053317 	 2.374887
-27.500000 	 3.516419 	 2.053530 	 2.374945
-28.500000 	 3.516779 	 2.053743 	 2.375003
-29.500000 	 3.517140 	 2.053957 	 2.375061
-30.500000 	 3.517500 	 2.054170 	 2.375119
-31.500000 	 3.517861 	 2.054383 	 2.375177
-32.500000 	 3.518221 	 2.054597 	 2.375235
-33.500000 	 3.518582 	 2.054810 	 2.375293
-34.500000 	 3.518942 	 2.055023 	 2.375350
-35.500000 	 3.519303 	 2.055237 	 2.375408
-36.500000 	 3.519663 	 2.055450 	 2.375466
-37.500000 	 3.520023 	 2.055663 	 2.375524
-38.500000 	 3.520384 	 2.055877 	 2.375582
-39.500000 	 3.520744 	 2.056090 	 2.375640
-40.500000 	 3.521105 	 2.056303 	 2.375698
-41.500000 	 3.521465 	 2.056517 	 2.375756
-42.500000 	 3.521826 	 2.056730 	 2.375814
-43.500000 	 3.522186 	 2.056943 	 2.375872
-44.500000 	 3.522547 	 2.057157 	 2.375929
-45.500000 	 3.522907 	 2.057370 	 2.375987
-46.500000 	 3.523267 	 2.057583 	 2.376045
-47.500000 	 3.523628 	 2.057797 	 2.376103
-48.500000 	 3.523988 	 2.058010 	 2.376161
-49.500000 	 3.524349 	 2.058223 	 2.376219
-50.500000 	 3.524709 	 2.058437 	 2.376277
-51.500000 	 3.525070 	 2.058650 	 2.376335
-52.500000 	 3.525430 	 2.058863 	 2.376393
-53.500000 	 3.525790 	 2.059077 	 2.376451
-54.500000 	 3.526151 	 2.059290 	 2.376508
-55.500000 	 3.526511 	 2.059503 	 2.376566
-56.500000 	 3.526872 	 2.059717 	 2.376624
-57.500000 	 3.527232 	 2.059930 	 2.376682
-58.500000 	 3.527593 	 2.060143 	 2.376740
-59.500000 	 3.527953 	 2.060356 	 2.376798
-60.500000 	 3.528314 	 2.060570 	 2.376856
-61.500000 	 3.528674 	 2.060783 	 2.376914
-62.500000 	 3.529034 	 2.060996 	 2.376972
-63.500000 	 3.529395 	 2.061210 	 2.377030
-64.500000 	 3.529755 	 2.061423 	 2.377087
-65.500000 	 3.530116 	 2.061636 	 2.377145
-66.500000 	 3.530476 	 2.061850 	 2.377203
-67.500000 	 3.530837 	 2.062063 	 2.377261
-68.500000 	 3.531197 	 2.062276 	 2.377319
-69.500000 	 3.531557 	 2.062490 	 2.377377
-70.500000 	 3.531918 	 2.062703 	 2.377435
-71.500000 	 3.532278 	 2.062916 	 2.377493
-72.500000 	 3.532639 	 2.063130 	 2.377551
-73.500000 	 3.532999 	 2.063343 	 2.377608
-74.500000 	 3.533360 	 2.063556 	 2.377666
-75.500000 	 3.533720 	 2.063770 	 2.377724
-76.500000 	 3.534081 	 2.063983 	 2.377782
-77.500000 	 3.534441 	 2.064196 	 2.377840
-78.500000 	 3.534801 	 2.064410 	 2.377898
-79.500000 	 3.535162 	 2.064623 	 2.377956
-80.500000 	 3.535522 	 2.064836 	 2.378014
-81.500000 	 3.535883 	 2.065050 	 2.378072
-82.500000 	 3.536243 	 2.065263 	 2.378130
-83.500000 	 3.536604 	 2.065476 	 2.378187
-84.500000 	 3.536964 	 2.065690 	 2.378245
-85.500000 	 3.537324 	 2.065903 	 2.378303
-86.500000 	 3.537685 	 2.066116 	 2.378361
-87.500000 	 3.538045 	 2.066330 	 2.378419
-88.500000 	 3.538406 	 2.066543 	 2.378477
-89.500000 	 3.538766 	 2.066756 	 2.378535
-90.500000 	 3.539127 	 2.066970 	 2.378593
-91.500000 	 3.539487 	 2.067183 	 2.378651
-92.500000 	 3.539848 	 2.067396 	 2.378709
-93.500000 	 3.540208 	 2.067610 	 2.378766
-94.500000 	 3.540568 	 2.067823 	 2.378824
-95.500000 	 3.540929 	 2.068036 	 2.378882
-96.500000 	 3.541289 	 2.068250 	 2.378940
-97.500000 	 3.541650 	 2.068463 	 2.378998
-98.500000 	 3.542010 	 2.068676 	 2.379056
-99.500000 	 3.542371 	 2.068890 	 2.379114
-100.500000 	 3.542731 	 2.069103 	 2.379172
-101.500000 	 3.543091 	 2.069316 	 2.379230
-102.500000 	 3.543452 	 2.069530 	 2.379288
-103.500000 	 3.543812 	 2.069743 	 2.379345
-104.500000 	 3.544173 	 2.069956 	 2.379403
-105.500000 	 3.544533 	 2.070170 	 2.379461
-106.500000 	 3.544894 	 2.070383 	 2.379519
-107.500000 	 3.545254 	 2.070596 	 2.379577
-108.500000 	 3.545615 	 2.070810 	 2.379635
-109.500000 	 3.545975 	 2.071023 	 2.379693
-110.500000 	 3.546335 	 2.071236 	 2.379751
-111.500000 	 3.546696 	 2.071450 	 2.379809
-112.500000 	 3.547056 	 2.071663 	 2.379867
-113.500000 	 3.547417 	 2.071876 	 2.379924
-114.500000 	 3.547777 	 2.072090 	 2.379982
-115.500000 	 3.548138 	 2.072303 	 2.380040
-116.500000 	 3.548498 	 2.072516 	 2.380098
-117.500000 	 3.548858 	 2.072730 	 2.380156
-118.500000 	 3.549219 	 2.072943 	 2.380214
-119.500000 	 3.549579 	 2.073156 	 2.380272
-120.500000 	 3.549940 	 2.073370 	 2.380330
-121.500000 	 3.550300 	 2.073583 	 2.380388
-122.500000 	 3.550661 	 2.073796 	 2.380446
-123.500000 	 3.551021 	 2.074010 	 2.380503
-124.500000 	 3.551382 	 2.074223 	 2.380561
-125.500000 	 3.551742 	 2.074436 	 2.380619
-126.500000 	 3.552102 	 2.074650 	 2.380677
-127.500000 	 3.552463 	 2.074863 	 2.380735
-128.500000 	 3.552823 	 2.075076 	 2.380793
-129.500000 	 3.553184 	 2.075290 	 2.380851
-130.500000 	 3.553544 	 2.075503 	 2.380909
-131.500000 	 3.553905 	 2.075716 	 2.380967
-132.500000 	 3.554265 	 2.075930 	 2.381024
-133.500000 	 3.554626 	 2.076143 	 2.381082
-134.500000 	 3.554986 	 2.076356 	 2.381140
-135.500000 	 3.555346 	 2.076570 	 2.381198
-136.500000 	 3.555707 	 2.076783 	 2.381256
-137.500000 	 3.556067 	 2.076996 	 2.381314
-138.500000 	 3.556428 	 2.077210 	 2.381372
-139.500000 	 3.556788 	 2.077423 	 2.381430
-140.500000 	 3.557149 	 2.077636 	 2.381488
-141.500000 	 3.557509 	 2.077850 	 2.381546
-142.500000 	 3.557869 	 2.078063 	 2.381603
-143.500000 	 3.558230 	 2.078276 	 2.381661
-144.500000 	 3.558590 	 2.078490 	 2.381719
-145.500000 	 3.558951 	 2.078703 	 2.381777
-146.500000 	 3.559311 	 2.078916 	 2.381835
-147.500000 	 3.559672 	 2.079130 	 2.381893
-148.500000 	 3.560032 	 2.079343 	 2.381951
-149.500000 	 3.560393 	 2.079556 	 2.382009
-150.500000 	 3.560753 	 2.079770 	 2.382067
-151.500000 	 3.561113 	 2.079983 	 2.382125
-152.500000 	 3.561474 	 2.080196 	 2.382182
-153.500000 	 3.561834 	 2.080410 	 2.382240
-154.500000 	 3.562195 	 2.080623 	 2.382298
-155.500000 	 3.562555 	 2.080836 	 2.382356
-156.500000 	 3.562916 	 2.081050 	 2.382414
-157.500000 	 3.563276 	 2.081263 	 2.382472
-158.500000 	 3.563636 	 2.081476 	 2.382530
-159.500000 	 3.563997 	 2.081690 	 2.382588
-160.500000 	 3.564357 	 2.081903 	 2.382646
-161.500000 	 3.564718 	 2.082116 	 2.382704
-162.500000 	 3.565078 	 2.082330 	 2.382761
-163.500000 	 3.565439 	 2.082543 	 2.382819
-164.500000 	 3.565799 	 2.082756 	 2.382877
-165.500000 	 3.566160 	 2.082970 	 2.382935
-166.500000 	 3.566520 	 2.083183 	 2.382993
-167.500000 	 3.566880 	 2.083396 	 2.383051
-168.500000 	 3.567241 	 2.083610 	 2.383109
-169.500000 	 3.567601 	 2.083823 	 2.383167
-170.500000 	 3.567962 	 2.084036 	 2.383225
-171.500000 	 3.568322 	 2.084250 	 2.383283
-172.500000 	 3.568683 	 2.084463 	 2.383340
-173.500000 	 3.569043 	 2.084676 	 2.383398
-174.500000 	 3.569403 	 2.084890 	 2.383456
-175.500000 	 3.569764 	 2.085103 	 2.383514
-176.500000 	 3.570124 	 2.085316 	 2.383572
-177.500000 	 3.570485 	 2.085530 	 2.383630
-178.500000 	 3.570845 	 2.085743 	 2.383688
-179.500000 	 3.571206 	 2.085956 	 2.383746
-180.500000 	 3.571566 	 2.086170 	 2.383804
-181.500000 	 3.571927 	 2.086383 	 2.383862
-182.500000 	 3.572287 	 2.086596 	 2.383919
-183.500000 	 3.572647 	 2.086810 	 2.383977
-184.500000 	 3.573008 	 2.087023 	 2.384035
-185.500000 	 3.573368 	 2.087236 	 2.384093
-186.500000 	 3.573729 	 2.087450 	 2.384151
-187.500000 	 3.574089 	 2.087663 	 2.384209
-188.500000 	 3.574450 	 2.087876 	 2.384267
-189.500000 	 3.574810 	 2.088090 	 2.384325
-190.500000 	 3.575170 	 2.088303 	 2.384383
-191.500000 	 3.575531 	 2.088516 	 2.384440
-192.500000 	 3.575891 	 2.088730 	 2.384498
-193.500000 	 3.576252 	 2.088943 	 2.384556
-194.500000 	 3.576612 	 2.089156 	 2.384614
-195.500000 	 3.576973 	 2.089370 	 2.384672
-196.500000 	 3.577333 	 2.089583 	 2.384730
-197.500000 	 3.577694 	 2.089796 	 2.384788
-198.500000 	 3.578054 	 2.090010 	 2.384846
